"","candidate","state","votes_candidate","votes_state","prop","abbreviation"
"152","Ted Cruz","Alabama",173277,1187624,0.145902238418894,"AL"
"153","Ted Cruz","Arizona",132147,834200,0.158411651882043,"AZ"
"154","Ted Cruz","Arkansas",123379,602290,0.204849823174883,"AR"
"155","Ted Cruz","Florida",383189,3767915,0.101697888620099,"FL"
"156","Ted Cruz","Georgia",298304,1874509,0.159137139378899,"GA"
"157","Ted Cruz","Idaho",99447,235051,0.42308690454412,"ID"
"158","Ted Cruz","Illinois",304903,1540864,0.197877943802957,"IL"
"159","Ted Cruz","Iowa",51316,325190,0.157803130477567,"IA"
"160","Ted Cruz","Kentucky",72503,225709,0.321223345103651,"KY"
"161","Ted Cruz","Louisiana",95169,496866,0.191538563717381,"LA"
"162","Ted Cruz","Massachusetts",3223,83130,0.0387706002646457,"MA"
"163","Ted Cruz","Michigan",322514,2387495,0.135084680805614,"MI"
"164","Ted Cruz","Mississippi",134347,577735,0.232540870814474,"MS"
"165","Ted Cruz","Missouri",293832,1031302,0.284913633445877,"MO"
"166","Ted Cruz","Nevada",16079,86815,0.185209929159707,"NV"
"167","Ted Cruz","New Hampshire",33189,525966,0.0631010369491564,"NH"
"168","Ted Cruz","North Carolina",417728,2180023,0.191616326983706,"NC"
"169","Ted Cruz","Ohio",267592,3204172,0.0835136191190735,"OH"
"170","Ted Cruz","Oklahoma",156643,759340,0.206288355677299,"OK"
"171","Ted Cruz","South Carolina",164790,1105408,0.149076178207503,"SC"
"172","Ted Cruz","Tennessee",210559,1197202,0.175875917347281,"TN"
"173","Ted Cruz","Texas",1219691,4091652,0.29809255528085,"TX"
"174","Ted Cruz","Utah",122567,254203,0.482161894234136,"UT"
"175","Ted Cruz","Vermont",681,18221,0.0373744580429175,"VT"
"176","Ted Cruz","Virginia",151738,1496131,0.101420263332556,"VA"
